Id,SalePrice
1461,129497.63174959207
1462,163513.11563688994
1463,182856.74801770502
1464,188793.83222195052
1465,179523.38865117356
1466,174403.1588283601
1467,179353.98497404455
1468,165265.355486702
1469,186774.98976167745
1470,128021.54687138514
1471,190828.1438613869
1472,94909.01655350858
1473,99317.9863485977
1474,150428.0622621717
1475,110991.43982568335
1476,400992.1948858344
1477,252641.0194611617
1478,285984.42240624456
1479,261593.48392074212
1480,489678.5055353292
1481,332499.0716977155
1482,198426.37738542454
1483,175683.15984669267
1484,156969.85972798147
1485,185035.02739570773
1486,193343.4442921453
1487,348793.531057439
1488,232129.02428862694
1489,197571.02706409004
1490,214039.96832883373
1491,191294.97724964694
1492,95010.57916044374
1493,193725.88931199952
1494,284620.4671711701
1495,296980.78229966614
1496,230972.8782897715
1497,182715.05289381804
1498,159446.6983758039
1499,161586.04758102013
1500,152173.52794808088
1501,172880.6080844947
1502,149476.5146225917
1503,297865.6888065866
1504,232065.72624390209
1505,221559.0014582346
1506,186484.5479073673
1507,255464.3507015225
1508,194238.13982621196
1509,159770.6781431643
1510,144650.48465691172
1511,141600.02414648727
1512,171454.59489944548
1513,138252.90658870403
1514,178568.19880040997
1515,201263.9876537722
1516,154533.23991271848
1517,159376.32420257473
1518,130889.60551184499
1519,230219.0976191226
1520,130515.19533796313
1521,133136.90938910452
1522,163793.70678243577
1523,111107.02045805061
1524,124598.41721686689
1525,120740.4323632808
1526,115850.29032181924
1527,111395.93892280098
1528,131560.5383229732
1529,153307.34968220175
1530,181197.8142383308
1531,98922.80051424453
1532,105469.93770831756
1533,144074.14366316138
1534,120695.89166086492
1535,160051.52638080367
1536,108699.36879150136
1537,68562.7138816447
1538,166089.1165430848
1539,179376.25057924987
1540,101044.1015629356
1541,140224.75647606264
1542,140806.14368235634
1543,223338.6971683493
1544,82823.44186593319
1545,111038.73619306195
1546,129116.55242679734
1547,136341.00585428285
1548,133866.80764431448
1549,112849.29053621109
1550,139151.22159504567
1551,115052.9344197277
1552,133094.04627747738
1553,149736.66442100375
1554,106087.50949892729
1555,168884.34363280947
1556,76680.89250452319
1557,114195.108565243
1558,95211.92786395832
1559,82969.68447037501
1560,138393.61851822297
1561,151164.74670918475
1562,130352.34045972998
1563,122156.05703326294
1564,158232.79206564053
1565,141900.95212014116
1566,227949.38801151662
1567,77963.46752029263
1568,232578.1753176366
1569,154576.69527342237
1570,142005.58546492844
1571,110450.91404670487
1572,145632.53526786144
1573,252387.44035929095
1574,117015.22382315427
1575,216305.9869523464
1576,229163.53732142888
1577,189931.20721663322
1578,143251.53379448806
1579,140802.53115046714
1580,190538.95092245252
1581,149961.81448308422
1582,129266.42826687271
1583,327915.20068749675
1584,226057.03040275778
1585,137650.32582117958
1586,76963.57307000172
1587,95093.74891036146
1588,156560.33102210032
1589,94625.00803285596
1590,136418.88181093545
1591,96805.47346184959
1592,125755.23448287387
1593,133609.86423841113
1594,130145.86389823364
